Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
general protestors,"end the ""Muslim ban""",1.0,1250.0,2017-02-01,0,Portland,ME
General protest,immigration ban,1.0,200.0,2017-02-01,0,Chappaqua,NY
Students,"end the ""muslim ban""",1.0,70.0,2017-02-01,0,Athens,OH
General protest,Immigration ban,1.0,50.0,2017-02-01,0,Johnson City,TN
general protestors,protest immigration ban,1.0,1000.0,2017-02-01,0,Knoxville,TN
"Refugee Empowerment Program, Comunidades Unidas en Una Voz and the Tennessee Immigrant & Refugee Rights Coalition.",Immigration ban,1.0,2000.0,2017-02-01,0,Memphis,TN
Tennessee Immigrant and Refugee Rights Coalition.,Immigration ban,1.0,3000.0,2017-02-01,0,Nashville ,TN
general protestors,"end the ""Muslim ban""",1.0,200.0,2017-02-01,0,Montpelier,VT
general protestors,"end the ""Muslim ban""",1.0,175.0,2017-02-01,0,Rutland City ,VT
students,protest immigration ban,1.0,175.0,2017-02-02,1,Sacramento,CA
Comcast employees,Immigration ban,1.0,150.0,2017-02-02,1,Washington DC,DC
General protestors,protest immigration ban,1.0,450.0,2017-02-02,1,Des Moines,IA
Chicago Alliance Against Racist and Political Repression,protest immigration ban,1.0,200.0,2017-02-02,1,Chicago,IL
Charlotte Interfaith Peace and Unity Coalition,protest immigration ban,1.0,200.0,2017-02-02,1,Charlotte,NC
General protest,immigration ban,1.0,200.0,2017-02-02,1,Flemington,NJ
Bodega owners,"end the ""muslim ban""",1.0,1500.0,2017-02-02,1,New York City ,NY
Comcast employees,Immigration ban,1.0,800.0,2017-02-02,1,Philadelphia,PA
General protestors,"Protest Texas Governor Greg Abbott's withholding of state funding to penalize Austin's commitment as a ""sanctuary city""",1.0,450.0,2017-02-02,1,Austin,TX
general protestors,protest immigration ban,1.0,200.0,2017-02-03,2,Tempe ,AZ
general protestors,protest immigration ban,1.0,125.0,2017-02-03,2,Tucson,AZ
General Protest,Immigration ban,1.0,300.0,2017-02-03,2,Fort Mayne ,IN
General protest ,"end the ""Muslim ban""",1.0,200.0,2017-02-03,2,Fredrick,MD
General protestors,Protest immigration ban,1.0,300.0,2017-02-03,2,Bozeman,MT
Montana for Immigrants,Protest immigrant ban,1.0,300.0,2017-02-03,2,Helena,MT
General Protest,"Against Cutting funding to ""Sanctuary Cities""",1.0,200.0,2017-02-03,2,Rochester ,NY
General protest,immigration ban,1.0,150.0,2017-02-03,2,New York City ,NY 
General Protest,Immigration order,1.0,200.0,2017-02-03,2,Cleveland ,OH
General Protest,Trump's travel ban,1.0,200.0,2017-02-03,2,Dayton,OH
"Houston Socialist Movement, #FightFor15 supporters, anarchists, Familias Inmigrantes y Estudiantes en the Lucha and other activist groups ",Protest immigrant ban and building of wall,1.0,150.0,2017-02-03,2,Houston,TX
